TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1596717177814	65.559761	-0.412207	-13.876143	0.998135	-0.000000	0.000000	0.061050	img_front_left_0_1596717177813831000.png
1596717178062	66.684708	-0.274062	-13.876143	0.998135	-0.000000	0.000000	0.061050	img_front_left_0_1596717178062230000.png
1596717178301	68.355240	-0.068945	-13.876143	0.998135	-0.000000	0.000000	0.061051	img_front_left_0_1596717178301433000.png
1596717178547	69.503632	0.072051	-13.876143	0.998135	-0.000000	0.000000	0.061051	img_front_left_0_1596717178546763000.png
1596717178784	70.659317	0.213945	-13.876143	0.998135	-0.000000	0.000000	0.061051	img_front_left_0_1596717178784033000.png
1596717179024	71.770302	0.350371	-13.876143	0.998135	-0.000000	0.000000	0.061051	img_front_left_0_1596717179023577000.png
1596717179279	72.187355	0.401582	-13.876143	0.998135	-0.000000	0.000000	0.061052	img_front_left_0_1596717179278595000.png
1596717179509	73.436989	0.555019	-13.876143	0.998135	-0.000000	0.000000	0.061052	img_front_left_0_1596717179508778000.png
1596717179756	74.684509	0.708203	-13.876143	0.998135	-0.000000	0.000000	0.061052	img_front_left_0_1596717179756180000.png
1596717179995	74.684509	0.708203	-13.876143	0.998135	-0.000000	0.000000	0.061052	img_front_left_0_1596717179995206000.png
1596717180226	74.684509	0.708203	-13.876143	0.998135	-0.000000	0.000000	0.061052	img_front_left_0_1596717180226060000.png
1596717180474	74.569977	1.640977	-13.876143	0.998135	-0.000000	0.000000	0.061052	img_front_left_0_1596717180474243000.png
1596717180716	75.682617	1.777598	-13.876143	0.998135	-0.000000	0.000000	0.061053	img_front_left_0_1596717180715648000.png
1596717180958	76.807869	1.915762	-13.876143	0.998135	-0.000000	0.000000	0.061053	img_front_left_0_1596717180958221000.png
1596717181200	77.223145	1.966758	-13.876143	0.998135	-0.000000	0.000000	0.061053	img_front_left_0_1596717181199418000.png
1596717181440	78.053535	2.068730	-13.876143	0.998134	-0.000000	0.000000	0.061053	img_front_left_0_1596717181439499000.png
1596717181692	78.983887	2.182988	-13.876143	0.998134	-0.000000	0.000000	0.061053	img_front_left_0_1596717181691868000.png
1596717181928	79.815094	2.285058	-13.876143	0.998096	-0.000533	0.008710	0.061051	img_front_left_0_1596717181927868000.png
1596717182171	79.815094	2.285058	-13.876143	0.997526	-0.002131	0.034834	0.061017	img_front_left_0_1596717182171300000.png
1596717182425	79.815094	2.285058	-13.876143	0.997526	-0.002131	0.034834	0.061017	img_front_left_0_1596717182424830000.png
1596717182654	79.815094	2.285058	-13.876143	0.997526	-0.002131	0.034834	0.061017	img_front_left_0_1596717182653910000.png
1596717182902	80.231323	2.336172	-13.905468	0.997526	-0.002131	0.034834	0.061017	img_front_left_0_1596717182902196000.png
1596717183142	81.801895	2.529043	-14.016118	0.997526	-0.002131	0.034834	0.061017	img_front_left_0_1596717183141434000.png
1596717183379	81.801895	2.529043	-14.016118	0.997526	-0.002131	0.034834	0.061017	img_front_left_0_1596717183379062000.png
1596717183618	82.913986	2.665605	-14.094467	0.997526	-0.002131	0.034834	0.061018	img_front_left_0_1596717183617505000.png
1596717183857	83.763336	2.769902	-14.154302	0.997526	-0.002131	0.034834	0.061018	img_front_left_0_1596717183856728000.png
1596717184102	84.225464	2.826660	-14.186860	0.997526	-0.002131	0.034834	0.061018	img_front_left_0_1596717184101850000.png
1596717184337	85.291031	2.957500	-14.261933	0.997526	-0.002131	0.034834	0.061018	img_front_left_0_1596717184336905000.png
1596717184577	85.240097	3.372226	-14.261933	0.997526	-0.002131	0.034834	0.061018	img_front_left_0_1596717184576449000.png
1596717184810	85.138321	4.200996	-14.261933	0.997526	-0.002131	0.034834	0.061018	img_front_left_0_1596717184810251000.png
1596717185050	85.138321	4.200996	-14.261933	0.996956	-0.002435	0.034814	0.069721	img_front_left_0_1596717185049666000.png
1596717185289	85.138321	4.200996	-14.261933	0.996310	-0.002738	0.034792	0.078419	img_front_left_0_1596717185288423000.png
1596717185524	86.363609	4.395078	-14.348681	0.996309	-0.002738	0.034792	0.078419	img_front_left_0_1596717185523710000.png
1596717185758	87.179161	4.524258	-14.406421	0.996309	-0.002738	0.034792	0.078420	img_front_left_0_1596717185757492000.png
1596717185995	87.179161	4.524258	-14.406421	0.996309	-0.002738	0.034792	0.078420	img_front_left_0_1596717185994419000.png
1596717186228	87.179161	4.524258	-14.406421	0.996575	-0.002054	0.026096	0.078441	img_front_left_0_1596717186228367000.png
1596717186460	87.585373	4.588593	-14.413598	0.996879	-0.000685	0.008699	0.078465	img_front_left_0_1596717186459770000.png
1596717186691	88.655273	4.758066	-14.432505	0.996879	-0.000685	0.008699	0.078466	img_front_left_0_1596717186691257000.png
1596717186921	89.059357	4.822070	-14.439643	0.996879	-0.000685	0.008699	0.078466	img_front_left_0_1596717186920975000.png
1596717187152	90.273224	5.014336	-14.461099	0.996879	-0.000685	0.008699	0.078467	img_front_left_0_1596717187151837000.png
1596717187391	91.377357	5.189258	-14.480610	0.996879	-0.000685	0.008699	0.078467	img_front_left_0_1596717187391230000.png
1596717187626	92.589844	5.381328	-14.502036	0.996878	-0.000685	0.008699	0.078467	img_front_left_0_1596717187625585000.png
1596717187861	93.398766	5.509472	-14.516333	0.996878	-0.000685	0.008699	0.078468	img_front_left_0_1596717187860902000.png
1596717188094	93.398766	5.509472	-14.516333	0.996878	-0.000685	0.008699	0.078468	img_front_left_0_1596717188094164000.png
1596717188345	93.398766	5.509472	-14.516333	0.997525	-0.000609	0.008705	0.069766	img_front_left_0_1596717188344681000.png
1596717188625	93.398766	5.509472	-14.516333	0.999010	-0.000381	0.008718	0.043630	img_front_left_0_1596717188625080000.png
1596717188902	93.398766	5.509472	-14.516333	0.999809	-0.000152	0.008725	0.017464	img_front_left_0_1596717188901802000.png
1596717189151	93.398766	5.509472	-14.516333	0.999924	0.000076	0.008726	-0.008714	img_front_left_0_1596717189151314000.png
1596717189401	93.398766	5.509472	-14.516333	0.999353	0.000304	0.008721	-0.034886	img_front_left_0_1596717189401031000.png
1596717189641	93.398766	5.509472	-14.516333	0.998098	0.000533	0.008710	-0.061034	img_front_left_0_1596717189641258000.png
1596717189895	93.398766	5.509472	-14.516333	0.996158	0.000760	0.008693	-0.087141	img_front_left_0_1596717189895385000.png
1596717190146	93.398766	5.509472	-14.516333	0.994485	0.000912	0.008678	-0.104514	img_front_left_0_1596717190146039000.png
1596717190409	93.398766	5.509472	-14.516333	0.991408	0.001139	0.008652	-0.130511	img_front_left_0_1596717190409421000.png
1596717190665	93.398766	5.509472	-14.516333	0.986250	0.001440	0.008607	-0.165032	img_front_left_0_1596717190665261000.png
1596717190925	93.920952	5.298496	-14.526162	0.981592	0.001665	0.008566	-0.190792	img_front_left_0_1596717190925352000.png
1596717191205	94.820816	4.934941	-14.543100	0.981592	0.001665	0.008566	-0.190792	img_front_left_0_1596717191204980000.png
1596717191468	96.048439	4.438984	-14.566211	0.981592	0.001665	0.008566	-0.190791	img_front_left_0_1596717191467718000.png
1596717191739	97.363380	3.907754	-14.590961	0.981592	0.001665	0.008566	-0.190791	img_front_left_0_1596717191739311000.png
1596717192025	98.676910	3.377090	-14.615688	0.981592	0.001665	0.008566	-0.190790	img_front_left_0_1596717192024972000.png
1596717192291	99.975449	2.852480	-14.640132	0.981592	0.001665	0.008566	-0.190789	img_front_left_0_1596717192290726000.png
1596717192564	101.605255	2.194043	-14.670815	0.981592	0.001665	0.008566	-0.190788	img_front_left_0_1596717192563441000.png
1596717192840	102.001114	2.034121	-14.678267	0.981592	0.001665	0.008566	-0.190788	img_front_left_0_1596717192839811000.png
1596717193162	103.649506	1.368184	-14.709301	0.981593	0.001665	0.008566	-0.190787	img_front_left_0_1596717193162178000.png
1596717193467	104.924370	0.853145	-14.733300	0.981593	0.001665	0.008566	-0.190786	img_front_left_0_1596717193467220000.png
1596717193747	106.578751	0.184805	-14.764443	0.981593	0.001665	0.008566	-0.190785	img_front_left_0_1596717193747040000.png
1596717194054	108.302185	-0.511445	-14.796889	0.981593	0.001665	0.008566	-0.190785	img_front_left_0_1596717194054369000.png
1596717194320	109.504570	-0.997187	-14.819526	0.981593	0.001665	0.008566	-0.190784	img_front_left_0_1596717194320256000.png
1596717194579	110.345528	-1.336914	-14.835356	0.981593	0.001665	0.008566	-0.190784	img_front_left_0_1596717194578937000.png
1596717194845	112.425484	-2.177187	-14.874512	0.981594	0.001665	0.008566	-0.190783	img_front_left_0_1596717194845124000.png
1596717195119	113.717537	-2.699160	-14.898832	0.981594	0.001665	0.008566	-0.190782	img_front_left_0_1596717195118828000.png
1596717195383	114.941635	-3.193672	-14.921875	0.981594	0.001665	0.008566	-0.190781	img_front_left_0_1596717195382572000.png
1596717195656	115.748161	-3.519492	-14.937056	0.981594	0.001665	0.008566	-0.190781	img_front_left_0_1596717195656284000.png
1596717195912	116.180893	-3.694316	-14.945200	0.981594	0.001665	0.008566	-0.190780	img_front_left_0_1596717195911834000.png
1596717196180	117.509216	-4.230937	-14.970204	0.981594	0.001665	0.008566	-0.190780	img_front_left_0_1596717196180358000.png
